track_name,track_pop,artist,artist_pop,album,length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days
Fly Away,69,Tones And I,68,Fly Away,178156,0.806,0.513,4.0,-6.208,1.0,0.0685,0.217,0.0,0.217,0.503,124.988,5ri4zqtWhG07hIuNNDWP76,178157.0,4.0,TONES AND I - FLY AWAY (OFFICIAL VIDEO),Tones And I,69181514,390300,111
This Is What You Came For,86,Calvin Harris,84,This Is What You Came For,222160,0.631,0.927,9.0,-2.787,0.0,0.0332,0.199,0.119,0.148,0.465,123.962,0azC730Exh71aQlOt9Zj3y,222160.0,4.0,"Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna",Calvin Harris & Rihanna,136906593,390000,1134
Cure For Me,67,AURORA,70,Cure For Me,201640,0.722,0.764,6.0,-5.86,0.0,0.0554,0.0933,1.82e-05,0.088,0.416,115.917,7kEva2rxsNMn07fyfZMRRn,201640.0,4.0,AURORA - Cure For Me (Official Video),A cure house for the brain,41845658,389800,58608
9 PM (Till I Come) - Club Mix,0,ATB,62,"The Gallery - 18 Years Mixed By Judge Jules, Simon Patterson & Gavyn Mytchel",215468,0.675,0.98,9.0,-4.51,0.0,0.0657,0.0275,0.946,0.143,0.852,131.986,31zGSgRmPc7vVQhH4Khf1q,215469.0,4.0,ATB - 9 PM (Official Video HD),ATB,10095286,389668,10857
Jalan - Jalan,54,Shaggydog,46,Kembali Berdansa,197933,0.791,0.758,10.0,-6.548,1.0,0.0337,0.454,0.0,0.153,0.963,121.969,3ucm48GNC3keMysr6TnVc5,197933.0,4.0,Shaggydog - Jalan Jalan,Shaggydog,2370105,389594,6922
Lily,77,Alan Walker,80,Different World,195840,0.423,0.634,6.0,-5.877,0.0,0.0578,0.196,0.0,0.189,0.467,150.978,0lks2Kt9veMOFEAPN0fsqN,195840.0,4.0,Alan Walker - Lily ft. K-391 & Emelie Hollow (Official Lyric Video),k-391 & Emelie Hollow & Alan Walker,41724433,389300,5600
ผู้อยู่เบื้องหลัง,27,เนม สุรพงศ์,32,ผู้อยู่เบื้องหลัง,297504,0.718,0.507,2.0,-5.563,0.0,0.0258,0.796,5.04e-05,0.0934,0.392,96.083,6CxwNQDjNFAnSKMjKkIsPc,297505.0,4.0,ผู้อยู่เบื้องหลัง - เนม สุรพงศ์ 【 OFFICIAL MV 】,เนม สุรพงศ์,29159588,388000,3085
Happy Wife Happy Life,8,MVL,28,Happy Wife Happy Life,268500,0.729,0.678,2.0,-5.017,1.0,0.284,0.414,0.0,0.245,0.658,80.034,0otsjD2R4g1yRssmNvpEbs,268500.0,4.0,"MVL - Happy Wife Happy Life (feat. F.HERO, MINDSET) (PROD. by BOTCASH) | (OFFICIAL MV)",FHERO,55062721,387900,260
Viah,61,Jass Manak,61,Age 19,162441,0.533,0.757,7.0,-6.73,0.0,0.0453,0.00733,0.0,0.111,0.358,169.975,12V0iduYsoXxsQYTSeFB2H,162441.0,4.0,VIAH : JASS MANAK (Official Video) Satti Dhillon | Punjabi Song 2019 | GK.DIGITAL | Geet MP3,Jass Manak ,22010237,387900,400
Billian Billian,62,Guri,56,Billian Billian,177600,0.708,0.893,8.0,-2.002,0.0,0.0549,0.0188,5.47e-05,0.471,0.753,100.031,1FdbP9ZAcqQnOcda55boaL,177600.0,4.0,Guri : Billian Billian (Official Video) Sukhe | Satti Dhillon | Punjabi Song | GK Digital | Geet MP3,GURI,7742689,387800,4334
Gonna Fly Now,50,Rocky Orchestra,30,The Rocky Story,289746,0.594,0.798,9.0,-7.061,0.0,0.0295,0.2,0.586,0.383,0.72,94.045,04NTgfyFFx8FRm0vZszMF7,289747.0,4.0,Gonna Fly Now,Rocky Orchestra,107108259,387330,4644
La Câlin,0,Serhat Durmus,56,La Câlin,172008,0.598,0.437,2.0,-10.97,1.0,0.0422,0.0883,0.839,0.1,0.0697,147.844,4wm54RgVLbAtk5v4A9I9x5,172009.0,4.0,Serhat Durmus - La Câlin (Obiymy),Serhat Durmus,50989453,387200,6700
Adan y Eva,0,Paulo Londra,74,Temazos Latinos,256971,0.767,0.709,1.0,-4.47,1.0,0.336,0.323,0.0,0.0745,0.724,171.989,7pbK2qTlHhRgYHKYv1Q1CL,256972.0,4.0,Paulo Londra - Adan y Eva (Official Video),Paulo Londra,11763943,387200,-567
I'm Legit,56,Nicki Minaj,86,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),198053,0.859,0.746,9.0,-3.014,1.0,0.0663,0.0301,0.000877,0.169,0.543,75.002,5VH29X65xVLfH2TwD9EcxO,198053.0,4.0,I'm Legit,Nicki Minaj,232397819,387200,160
For The Night (feat. Lil Baby & DaBaby),54,Pop Smoke,79,Shoot For The Stars Aim For The Moon (Deluxe),190476,0.823,0.586,6.0,-6.606,0.0,0.2,0.114,0.0,0.193,0.347,125.971,6IParsannfwoLCcNSfxQPh,190476.0,4.0,"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby",Dababy & POP SMOKE 💫 & Lil Baby,139859429,387100,-1924
Lei da Vida,50,Sabrina Lopes,41,Lei da Vida,201301,0.667,0.189,0.0,-11.255,1.0,0.0323,0.761,0.0,0.0922,0.227,115.856,5OwlACTNZUcSoVPQfppQZZ,201301.0,4.0,Sabrina Lopes - Lei Da Vida (Clipe),Sabrina Lopes,35138945,387050,1898
Холодок,1,Мэвл,42,Холодок,122035,0.88,0.663,0.0,-8.135,1.0,0.208,0.234,4.67e-05,0.111,0.804,140.15,1gaFzwbmybYUZCnX1qTNRw,122036.0,4.0,Мэвл — Холодок | ПРЕМЬЕРА КЛИПА!,Мэвл,27480977,386800,-1133
Coming Home - Part II / Bonus Track,56,Skylar Grey,65,Don't Look Down,164826,0.568,0.283,4.0,-9.605,1.0,0.0333,0.93,2.04e-05,0.0906,0.173,130.052,2EowclmjcHVK6W8xlngurh,164827.0,4.0,"Skylar Grey - Coming Home, Pt. II (Official Video)",Skylar Grey,125042543,386752,-777
Nakhre Vs Guns,0,Kaur B,41,Nakhre Vs Guns,176416,0.714,0.771,4.0,-3.207,0.0,0.152,0.142,0.0,0.355,0.544,83.378,1q5vJyxEhFUIz2NWi5TEM9,176417.0,4.0,Nakhre vs Guns : Kaur B ft Khan Bhaini (Official Video) Laddi Gill | Savio Latest Punjabi Songs 2020,"""̮",20357616,386500,-130
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0,Shakira,86,Bravo Hits 70,203133,0.766,0.899,11.0,-6.081,0.0,0.18,0.0102,0.0,0.0701,0.771,126.968,3x8I7KqxWtN222jfOQ78Wc,203133.0,4.0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),Shakira,212771955,386300,1515
GOODMORNINGTOKYO!,66,TOKYO’S REVENGE,53,GOODMORNINGTOKYO!,150115,0.907,0.539,4.0,-7.782,1.0,0.36,0.0408,0.0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,150115.0,4.0,TOKYO'S REVENGE - GOODMORNINGTOKYO!,Tokyos Revenge,215568577,385800,-2070
Happy Birthday to You - お誕生日の歌,15,Jennifer,17,アロハ!えいごDEこどものうた (Aloha! English Songs for Children),69440,0.834,0.136,4.0,-13.743,1.0,0.0696,0.983,0.0,0.0946,0.668,112.21,5KLKIe8fSlIjofgn6ycUrx,69440.0,3.0,Happy Birthday to You／お誕生日の歌,Jennifer/Kina & Kalani,5406090,385400,-132
O Maior Troféu,59,Damares,52,O Maior Troféu,311280,0.538,0.769,11.0,-5.669,1.0,0.0416,0.461,0.0,0.217,0.39,143.874,1s6kINRA4Py3YlYtPWhFew,311280.0,4.0,Damares - O Maior Troféu (Videoclip),Damares,5537114,385400,-280
Гимн анонимусов,0,MARKOVICH,8,Gangsta Trap,120519,0.795,0.664,0.0,-5.612,1.0,0.0755,0.24,0.0,0.465,0.507,129.92,71ws4ag2Q5eIW200xkSf8Y,120519.0,4.0,МАРКОВИЧ - ГИМН АНОНИМУСОВ (prod. GOD DAMN BEATS),МАРКОВИЧ,11079457,385200,-1900
Mentirosa,1,Rafaga,61,Imparables,195466,0.635,0.823,5.0,-4.54,0.0,0.102,0.0833,0.000377,0.157,0.821,200.943,2e3fohSwZ9nU6Q2tks0fFz,195467.0,4.0,RAFAGA - Mentirosa,Ráfaga,126679092,384880,1960
The Maari Swag,50,Anirudh Ravichander,81,Maari (Original Motion Picture Soundtrack),30753,0.5,0.729,10.0,-4.643,0.0,0.134,0.00338,0.0814,0.177,0.525,169.552,1kZwVm0A2GWyBm4Oi2BFGX,30754.0,4.0,"Maari - The Maari Swag Video | Dhanush, Kajal Agarwal | Anirudh",Anirudh Ravichander,22190247,384700,320
Senta Danada,64,Zé Felipe,68,Senta Danada,172621,0.746,0.743,7.0,-3.349,1.0,0.0629,0.251,0.0,0.0674,0.938,166.043,2R9IrE42Mw4zdUXAEFNiZL,172621.0,4.0,Zé Felipe e Os Barões Da Pisadinha - Senta Danada (Videoclipe Oficial),zefelipe,31868952,384500,-1400
