,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,viral
140,0.223,0.385,8.0,-17.432,1.0,0.0483,0.927,0.877,0.0835,0.109,141.255,5CFRDzlw8XG11Cu2qMYjU2,297691.429,4.0,1
141,0.582,0.62,2.0,-7.819,0.0,0.0762,0.183,0.000759,0.196,0.172,139.876,5wgvmJBLAHtWeaWYdUh2E0,164832.653,4.0,0
142,0.352,0.551,4.0,-16.545,0.0,0.0362,0.779,0.902,0.167,0.103,168.022,0kwuKfWntoGh0EWyYb7Mpf,191529.796,4.0,1
143,0.974,0.472,11.0,-11.848,0.0,0.447,0.0488,0.000157,0.116,0.806,126.065,5au5NgWCdev4WeLRB3YEOR,109374.694,4.0,1
144,0.788,0.802,11.0,-8.069,1.0,0.0519,0.0171,0.851,0.103,0.123,124.063,6VbOfyC6G9Rfn9KlWmoDYi,143699.592,4.0,1
145,0.914,0.726,8.0,-6.183,0.0,0.259,0.0135,0.0,0.106,0.46,94.044,2MLXkXM8MUQoQjotxk2n2x,171702.857,4.0,1
146,0.843,0.6,0.0,-6.095,1.0,0.14,0.444,0.0,0.101,0.585,121.24,2Lxae4E83hZdR55WTH0OQC,137560.816,5.0,1
147,0.844,0.682,2.0,-9.556,1.0,0.0453,0.00207,0.797,0.113,0.352,99.99,4pCvnGkf7jveRMKHZosxxB,224078.367,4.0,1
148,0.704,0.792,4.0,-4.499,1.0,0.0295,0.318,0.0,0.334,0.738,97.975,4zXNw44Ft1cIds0sC9vpLC,192417.959,4.0,0
149,0.828,0.599,11.0,-1.624,1.0,0.149,0.381,0.0,0.0775,0.478,86.533,3Hb9kUdm4yf839Fle4RIdT,166870.204,5.0,1
150,0.604,0.929,8.0,-4.478,0.0,0.0383,0.00648,0.578,0.0788,0.894,127.995,7zfRNoXBePlwPzgcOohnsj,141244.082,4.0,1
151,0.572,0.89,6.0,-4.139,0.0,0.039,0.00082,0.00937,0.564,0.765,158.038,11dxtPJKR4E0wlSr0A0t47,218331.429,4.0,1
152,0.886,0.922,1.0,-6.633,1.0,0.0561,0.284,0.00112,0.0534,0.958,140.046,75vGTHuhbJDrZ0oPb3FXQ9,127216.327,4.0,1
153,0.42,0.0842,6.0,-17.542,1.0,0.0341,0.957,0.0,0.285,0.246,88.278,7hfEuxdObtxEdcOpQsXE49,160653.06100000002,4.0,1
154,0.629,0.876,5.0,-5.572,0.0,0.0408,0.129,1.39e-06,0.29,0.645,124.999,44xO8889yUQHn70P73NILS,188473.46899999998,4.0,0
155,0.678,0.884,2.0,-6.936,1.0,0.0379,0.0155,0.000124,0.141,0.773,93.04,40R5dXDbS3mLG9ng7COXtt,190223.67299999998,4.0,1
156,0.316,0.63,5.0,-5.963,1.0,0.117,0.471,0.262,0.205,0.313,89.643,6N22FZs2ZhPBYi3b9XPajV,191111.837,1.0,1
157,0.967,0.583,7.0,-5.562,0.0,0.0789,0.0584,0.0,0.0519,0.964,117.0,0O45fw2L5vsWpdsOdXwNAR,238915.918,4.0,1
158,0.93,0.765,1.0,-4.193,1.0,0.0736,0.575,0.0474,0.125,0.813,116.994,1dysYaB5RKYFMjpGF7ajIp,165537.959,4.0,1
159,0.903,0.741,6.0,-7.02,0.0,0.104,0.464,3.36e-06,0.0796,0.773,106.973,0qP9Kt3gmpDFoDUzl3REGs,257724.08200000002,4.0,1
160,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,3AJwUDP919kvQ9QcozQPxg,266213.878,4.0,1
161,0.578,0.669,10.0,-4.898,1.0,0.0377,0.65,0.0,0.13,0.503,75.995,1175r6ZmkUjX8dRJLz9Ohk,160940.408,4.0,1
162,0.957,0.437,11.0,-7.882,1.0,0.359,0.00402,0.0,0.219,0.616,130.058,4aarlAfLKVCTxUDNgbwhjH,138187.755,4.0,1
163,0.839,0.683,10.0,-9.232,0.0,0.165,0.00667,0.0,0.241,0.522,120.003,5ruI0qfmxe4gNm1cWILqTw,160522.449,4.0,1
164,0.504,0.711,9.0,-5.864,1.0,0.0452,0.0585,1.83e-05,0.382,0.5,134.824,3qGHAKgjQruzj6doKkyEb5,258089.79599999997,4.0,1
165,0.501,0.167,1.0,-14.061,1.0,0.0484,0.885,0.0,0.111,0.356,112.275,5kcvBnt6DPX3AMEsCx1qDh,228728.163,3.0,1
166,0.606,0.805,9.0,-5.952,1.0,0.0505,0.000342,0.0,0.143,0.563,155.065,5udNN5hwk870U9dk7a0nHe,132101.224,4.0,1
167,0.619,0.517,9.0,-11.458,1.0,0.0851,0.000744,0.893,0.117,0.0463,174.878,3mYixswdQyyMq4weqq44rW,155663.67299999998,4.0,1
168,0.734,0.409,11.0,-11.289,1.0,0.0701,0.24,0.941,0.12,0.489,82.889,3meoUeVeTrQ5UgRaPAHUzn,174262.857,4.0,1
169,0.563,0.824,8.0,-4.432,1.0,0.189,0.0802,0.0,0.221,0.377,135.281,0yQgvvEyDS5xICpMsj6O2k,168594.28600000002,4.0,1
170,0.701,0.66,2.0,-5.601,0.0,0.0428,0.0572,0.000205,0.146,0.169,121.75,1W9R017K7R1WOz0iu3v2Vv,220969.796,4.0,1
