artist,title,album,length,popularity,id
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],169153,83,4cG7HUWYHBV6R6tHn1gxrl
SI US PLAU,Mirror,Mirror,127258,46,3jUifuwKaLSuCwq3loTTAP
Rihanna,Bitch Better Have My Money,Bitch Better Have My Money,219305,81,0NTMtAO2BV4tnGvw9EgBVq
Will Ryte,Never Cross,Never Cross,105600,37,2sPEFgSC3kp9Kyc6PWEQi3
JANFRY,Miss You,Miss You,131200,49,5yGBAk2Ukgs1SQS3tpOI46
Maluma,Hawái,PAPI JUANCHO,199112,81,1yoMvmasuxZfqHEipJhRbp
24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),140525,7,3tjFYV6RSFtuktYl3ZtYcq
Dame Dame,Lies,Lies,156885,37,1MoCNaJBVDOMSMJMhIEjCR
Olivia Rodrigo,drivers license,drivers license,242013,29,7lPN2DXiMsVn7XUKtOW1CS
Regard,Ride It,Ride It,157605,83,2tnVG71enUj33Ic2nFN6kZ
Jt5k,Top Down,So Far From Home,109800,37,79pcq6d3893iSt6Jtq50IC
Internet Money,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",195428,76,02kDW379Yfd5PzW5A6vuGt
Cardi B,Up,Up (Instrumental),156944,74,1M4OcYkxAtu3ErzSgDEfoi
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,243773,78,2Lhdl74nwwVGOE2Gv35QuK
Tiësto,The Business,The Business,164000,82,6f3Slt0GbA2bPZlz0aIFXN
Arem Ozguc,Hush Hush,Hush Hush,118064,47,5JfypFrG72bBZ5Z0uLWkeD
Disco Lines,Baby Girl,Baby Girl,111074,80,2cSdAkzAf2T4j4aLvx4LLz
MØRFI,Leave Before You Love Me,Leave Before You Love,124880,51,3QclFWAS0G1gssGbRYKow8
Kali Uchis,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,160191,87,6tDDoYIxWvMLTdKpjFkc1B
Brent Faiyaz,"Gravity (feat. Tyler, The Creator)","Gravity (feat. Tyler, The Creator)",214692,70,6u3CPnFMKANYgfdiifFOiJ
Ariana Grande,motive (with Doja Cat),Positions (Deluxe),167989,59,5VipERQ1ofCowecoFg2MVU
SZA,Good Days,Good Days,279204,82,3YJJjQPAbDT7mGpX3WtQ9A
Pop Smoke,What You Know Bout Love,Shoot For The Stars Aim For The Moon,160000,83,1tkg4EHVoqnhR6iFEXb60y
ASTELLE,K Boy Bye,K Boy Bye,166354,36,3OgPctJpAjlqPsGWl0NeoF
Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),187541,82,4Oun2ylbjFKMPTiaSbbCih
Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),171374,78,1xQ6trAsedVPCdbtDAmk0c
Lil Nas X,HOLIDAY,HOLIDAY,154997,75,6zFMeegAMYQo0mt8rXtrli
Will Ryte,No Love,Help Yourself,168000,38,4uvgv5P5mb6zsoS7BlO0K1
The Kid LAROI,WITHOUT YOU,F*CK LOVE (SAVAGE),161384,21,27OeeYzk6klgBh83TSvGMA
DaBaby,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,181733,81,7ytR5pFWmSjzHJIeQkgog4
Fenox,Middle Of The Night,Middle Of The Night,170894,38,7LVcTA24fqNix2VbN3485Z
Will Ryte,Palm of My Hand,Palm of My Hand,125217,37,7krqmxxUvvLUpJzbHgBlws
Ariana Grande,34+35,Positions,173710,81,6Im9k8u9iIzKMrmV7BWtlF
S1mba,Rover (feat. DTG),Rover (feat. DTG),167916,74,4slSrbTK1sNK4I1mDYEthf
Ritt Momney,Put Your Records On,Put Your Records On,210463,1,1fah1uAs7HeTYDlNftKr3K
Pop Smoke,Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,213333,80,5rZlwNFl01HqLWBQGryKSm
Billie Eilish,Therefore I Am,Therefore I Am,174321,76,54bFM56PmE4YLRnqpW6Tha
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,190476,82,0PvFJmanyNQMseIFrU708S
Claire Rosinkranz,Backyard Boy,BeVerly Hills BoYfRiEnd,129240,5,0y9fkzOaaQy4Up22BGUbIp
ROSALÍA,TKN (feat. Travis Scott),TKN (feat. Travis Scott),129370,75,4w47S36wQGBhGg073q3nt7
Melanie Martinez,Play Date,Cry Baby (Deluxe Edition),179867,81,4DpNNXFMMxQEKl7r0ykkWA
Doja Cat,Freak,Freak,284480,73,3aA6xB0tOilDDX17fIJ0Bl
