track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)",57,Ava Max,78,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)",0.661,0.779,1.0,-3.995,0.0,0.0678,0.00604,0.0,0.218,0.67,129.911,5rB5mfeFCkUI3nkHQMMZ3K,175993.0,4.0,Ava Max,182933515,1204600,0.3970881700515747,0.3180280327796936,2490.395218801204,2652.5819094067174,5182.660327828706,0.09706517269736842,6.576799392700195
Ayy Ladies (feat. Tyga),70,Travis Porter,54,From Day 1,0.905,0.782,10.0,-3.604,0.0,0.164,0.096,0.0,0.0623,0.798,96.055,4P6BuLsqtg5uISdE77ypI9,211293.0,4.0,Travis porter & Tyga,182605714,506710,0.4030742645263672,0.1726556122303009,2415.6869288813496,2415.2115344508147,5100.769156346749,0.1064866954697175,2.339815616607666
New Home (Slowed),70,Austin Farwell,60,New Home (Slowed),0.356,0.00558,11.0,-27.72,1.0,0.0417,0.99,0.934,0.0991,0.122,70.012,6h6runZeeczWEuEW2pFvYW,174521.0,4.0,Austin Farwell,182468972,164100,0.31262364983558655,0.08923280984163284,330.7230701830683,327.3189952176995,558.896620428599,0.02756124679518189,-5.940455913543701
emo girl (feat. WILLOW),1,Machine Gun Kelly,76,emo girl (feat. WILLOW),0.41,0.881,2.0,-3.502,1.0,0.087,0.000406,4.26e-05,0.922,0.357,165.006,2AAyBZmMVZSZfgzXRYJOWQ,159096.0,4.0,the blonde don & WILLOW,182271453,472000,0.46866756677627563,0.35957157611846924,2144.9989027454158,2329.3427402827597,4538.922553756289,0.08278861503482972,9.408037185668945
Relación - Remix,75,Sech,79,Relación (Remix),0.793,0.771,5.0,-3.417,1.0,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,35UUpTmrcFXNIVIN26ujXl,247308.0,4.0,SechMusic,181773631,2454344,0.28229019045829773,0.1579228937625885,2068.1029848488147,2107.9819563079045,4267.570027921222,0.0894108350062887,-7.687788009643555
Just A Girl,0,No Doubt,66,Tragic Kingdom,0.641,0.914,2.0,-4.798,1.0,0.05,0.0799,6.54e-05,0.132,0.723,107.996,1VA38sp5Jr6vWxgoIcnxKN,208400.0,4.0,No Doubt,181578000,443752,0.3486745357513428,0.21148096024990082,2351.469020976484,2420.778018221259,4947.820081208882,0.10799027670278638,1.7054778337478638
Bad Day,43,Daniel Powter,58,Daniel Powter (Deluxe Version),0.583,0.667,3.0,-7.351,1.0,0.029,0.27,3.64e-05,0.167,0.53,140.028,2Pwm2YtneLSWi7vyUpT5fs,233920.0,4.0,Daniel Powter,181379599,232080,0.2845974862575531,0.17619748413562775,1684.4351233622724,1740.021405381333,3227.6388162429857,0.08937209752321981,-2.9992570877075195
Something In The Way,76,Nirvana,79,Nevermind (Remastered),0.427,0.201,8.0,-13.044,1.0,0.0317,0.745,0.263,0.109,0.0668,105.218,4gHnSNHs8RyVukKoWdS99f,232147.0,4.0,Nirvana,181312814,211800,0.33331480622291565,0.1460767388343811,698.2887371632899,1304.7747133833816,1095.2642104204963,0.02080221737132353,-2.458894968032837
Moonlight,89,Kali Uchis,83,Moonlight,0.639,0.723,7.0,-6.462,0.0,0.0532,0.511,0.0,0.167,0.878,136.872,2i2gDpKKWjvnRTOZRhaPh2,187558.0,4.0,Kali Uchis,181284531,548156,0.32342949509620667,0.21926258504390717,2518.6892047575707,2650.8859036004806,5569.1871572205155,0.10825690396429953,1.4005718231201172
Sweater Weather,72,The Neighbourhood,81,I Love You.,0.613,0.808,10.0,-2.851,1.0,0.0346,0.0426,0.0159,0.102,0.38,124.037,0cQVqPuHQP4KEwc7ZUQmj6,240427.0,4.0,The Neighbourhood,180996414,474360,0.4051935374736786,0.23506011068820953,2146.8981543701225,2092.9412747309657,4239.12019995344,0.1084738338694853,2.6457743644714355
Someone To You,0,BANNERS,63,Empires On Fire,0.518,0.926,2.0,-3.675,1.0,0.0459,0.00655,0.0,0.225,0.712,75.028,7iQOCAbkWZwzpVDZThRCff,219800.0,4.0,bannersmusic,180990104,438122,0.42359012365341187,0.32673975825309753,1887.242714155976,2287.2796673989874,4163.43315762263,0.06447901297648993,8.227518081665039
DANÇARINA,71,PEDRO SAMPAIO,66,CHAMA MEU NOME,0.778,0.571,9.0,-4.776,0.0,0.0788,0.0423,0.0,0.0964,0.554,134.999,5zNxUkUW9WiV5oyg6gh2wB,110222.0,4.0,Mc Pedrinho & Pedro Sampaio,180834659,1200000,0.3588680326938629,0.2889746427536011,1983.1091168100759,2317.8624960224242,4242.3951801500825,0.07459724355408281,2.4928646087646484
when the party's over,0,Billie Eilish,87,when the party's over,0.498,0.104,1.0,-14.08,0.0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,14JzyD6FlBD5z0wV5P07YI,199931.0,3.0,BILLIE EILISH,180823354,349160,0.2601698935031891,0.08737644553184509,1133.731424961452,1596.5388907956449,1974.3380614478522,0.047867057493227554,-15.109816551208496
10 Things I Hate About You,0,Leah Kate,58,10 Things I Hate About You,0.544,0.786,8.0,-2.97,1.0,0.0501,0.00991,0.0,0.169,0.446,153.967,1shKa7wLElW8CrbHOJk85M,157138.0,4.0,LEAH KATE,180773805,1700000,0.3338465094566345,0.1846887618303299,2419.415032530739,2312.6242076071267,4898.112048453222,0.11124517009723298,-2.5215065479278564
BOMBÓN,7,Daddy Yankee,86,Perreo Ligero Vol. 5,0.843,0.789,7.0,-2.801,1.0,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,7ddC1NtLYxx9bB2RgUqEcf,182413.0,4.0,daddyyankee & Lil Jon & ELALFAELJEFERD,180092755,2900000,0.49400463700294495,0.2825760543346405,2845.5198114919785,2794.395136978793,6172.95850629777,0.10979638823045666,5.027973651885986
Viva La Vida,74,Coldplay,87,Viva La Vida or Death and All His Friends,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4zOfy9kqJlG0ZXvcaSh4gv,242373.0,4.0,coldplay,179605449,920400,0.3086480498313904,0.15990188717842102,1660.7768193028064,1888.9232403938868,3395.4544681513644,0.07712670671681501,0.6415435671806335
Geek'd (feat. Lil Baby),60,Bhad Bhabie,53,15,0.855,0.562,9.0,-7.099,0.0,0.299,0.485,7.89e-06,0.112,0.193,164.053,3nQQotHU6YtE0Z4kiMNoW8,133691.0,4.0,bhadbhabie & Lil Baby,179511434,404000,0.3304922878742218,0.16556356847286224,1949.1818348620025,2085.114853938772,4031.192290598394,0.07430397246275154,-3.480104446411133
Unconditionally,0,Katy Perry,82,PRISM (Deluxe),0.555,0.729,7.0,-4.813,1.0,0.0387,0.00357,0.0,0.209,0.369,129.003,2RPNCUaDL2ixoY9wGpoJoQ,228879.0,4.0,Katy Perry,179478143,161500,0.3612257242202759,0.20297524333000183,1768.619769679576,2066.0140291457524,3641.1696490119484,0.07397366455833979,4.611542701721191
Fancy Like,4,Walker Hayes,64,Country Stuff,0.649,0.76,1.0,-6.487,1.0,0.0574,0.114,0.0,0.317,0.843,80.018,3ZozFqJJlDBNIm4xqxn2ZD,161853.0,4.0,Walker Hayes,179469307,662252,0.4728825092315674,0.26584598422050476,2291.9711238600794,2440.4634825004964,4768.791997100547,0.09111887456462849,4.8182783126831055
