track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Electric Love,0,BØRNS,66,Dopamine,0.611,0.804,6.0,-7.592,0.0,0.0545,0.00431,0.000633,0.2,0.536,120.032,0BRbWiAn3TVprsotudFRvZ,218107.0,4.0,BORNS,277320818,172000,0.423380434513092,0.1825035512447357,1812.9735154761336,2001.4044001879925,3666.261163953657,0.0866423332285216,2.1782782077789307
Tokyo,0,Leat'eq,40,Tokyo,0.743,0.879,5.0,-2.717,0.0,0.0339,0.0725,0.00141,0.081,0.636,101.966,5GRf6zSrCi8gErdN6CyRJT,174118.0,4.0,Leat'eq,277129162,1100000,0.4442070126533508,0.4051759839057922,2919.684398589724,2907.1088130157123,6422.802828856666,0.109972502055921,6.47672700881958
On The Ground,77,ROSÉ,63,R,0.311,0.607,1.0,-6.578,1.0,0.11,0.0174,0.0,0.131,0.286,188.7,2xgACMNtJ5YktyvOC83SPO,168086.0,4.0,ROSÉ,277034512,605140,0.2916029989719391,0.161001369357109,2503.4074592561037,2410.9508507827286,4991.511483679615,0.1175159182710913,-6.568867206573486
Oh No,53,Kreepa,34,Cold As Ice,0.541,0.527,11.0,-7.438,0.0,0.147,0.00279,0.000509,0.286,0.429,176.123,4qBMiRsJjtm1WR4KyAQqrX,166504.0,4.0,Hip Hop,276532749,19900000,0.3419916331768036,0.1192002817988395,2515.862542323044,2270.017917601626,4986.211515727796,0.1382365034829721,-4.602346897125244
Kimi No Toriko,58,Rizky Ayuba,38,Kimi No Toriko,0.827,0.941,0.0,-3.076,1.0,0.0508,0.165,0.0392,0.163,0.988,131.991,0TkyAwi6LZCHEUrYKdc90N,132923.0,4.0,Rizky Ayuba,276390921,8942852,0.2288705557584762,0.1119961962103843,1942.4359775837652,1749.3397241910957,3985.750898709607,0.1058670847039473,-8.608991622924805
Mrs. Right,57,Mindless Behavior,40,#1 Girl,0.439,0.753,0.0,-4.799,0.0,0.0932,0.057,0.0,0.1,0.538,95.339,4N4CHJqFZHyB7SBUuSFu1y,248187.0,5.0,Mindless Behavior,275918955,627800,0.3437623977661133,0.1011716276407241,2524.999908024608,2489.389856220595,5259.284864490615,0.1138677921826625,-2.114212274551392
My Type,51,Saweetie,69,ICY,0.899,0.811,2.0,-6.294,1.0,0.258,0.000677,0.0,0.0672,0.587,105.038,6nxcOGl5E292RUh7iR7KTW,126446.0,4.0,SAWEETIE 🖤,275806879,1000000,0.4544456601142883,0.2388431280851364,2906.247158131877,2752.324913490929,6191.845892088332,0.0980031866776315,0.428358644247055
Baby Elephant Walk,46,Henry Mancini,54,Hatari!,0.771,0.375,10.0,-10.662,1.0,0.0346,0.654,0.000124,0.0894,0.675,121.568,0eaDPjRdYhDoRWQfsoc1em,161240.0,4.0,Henry Mancini,275751322,232026,0.2770658433437347,0.1071132943034172,1604.328555056776,2055.164728003349,3420.054319399429,0.0820652633997678,-1.8329249620437624
Them Changes,0,Thundercat,70,Drunk,0.784,0.551,8.0,-8.645,1.0,0.064,0.551,0.000635,0.0899,0.715,81.678,5dcZUsgcMW57ju0A379O7c,188385.0,4.0,Thundercat,274925100,352900,0.4654947221279144,0.209223985671997,2249.3943918229284,2495.321726349986,4867.103902621904,0.0863207176373839,3.169905185699463
Cheap Thrills (feat. Sean Paul),67,Sia,81,This Is Acting (Deluxe Version),0.592,0.788,6.0,-4.924,0.0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,2ONIJ40u0Attbm3miIIpNO,224493.0,4.0,Ellen's Betta,274346297,793826,0.3697629272937774,0.2115243673324585,2216.9726320800014,2249.4820421106224,4182.95803955834,0.1075885406588622,-2.5181193351745605
Summer Background Jazz,43,Jazz Background Vibes,27,Background Jazz Music for Relaxing,0.589,0.0906,11.0,-21.017,0.0,0.0428,0.947,0.375,0.105,0.559,114.756,6PRjXz4wxuABlCkwpBkJj9,161007.0,4.0,Jazz Background Vibes,273917910,288059,0.2566806375980377,0.0557972006499767,1167.8005146578107,1690.110503319452,2349.7607913179663,0.0415707992695433,-7.122757911682129
THATS WHAT I WANT,84,Lil Nas X,76,MONTERO,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO,143901.0,4.0,lil nas x,273698825,516590,0.4374093115329742,0.1904084682464599,2239.647822555908,2300.807548596246,4602.072171899187,0.1013508610681114,0.0622426755726337
Bandoleros,75,Don Omar,80,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),0.662,0.896,5.0,-5.311,0.0,0.251,0.318,0.0,0.186,0.79,90.622,4BxzNZpcm1j3JczZzGNe2k,305280.0,4.0,DON OMAR aka KONG & TegoCalderon,273493133,571332,0.3049400746822357,0.157690480351448,1937.904080411908,2058.267528698889,3864.7266305268,0.0923271061097136,-5.55391788482666
Shootout,0,Izzamuzzic,62,Shootout,0.674,0.565,2.0,-9.043,1.0,0.0775,0.311,0.888,0.109,0.547,86.967,4xOVnFiWVvl9HSZFWIMvJW,295309.0,4.0,Izzamuzzic & Julien Marchal,273466454,1500000,0.3186868727207184,0.1630486100912094,1067.777415307664,1242.540168021378,2099.045640691515,0.041006932686726,-7.105376720428467
TV,87,Billie Eilish,87,Guitar Songs,0.412,0.236,4.0,-15.159,0.0,0.0379,0.83,0.00653,0.147,0.119,140.214,3GYlZ7tbxLOxe6ewMNVTkw,281381.0,4.0,BILLIE EILISH,273275394,294200,0.3097920417785644,0.1530063599348068,983.665649382606,1576.7029513471152,1809.8140563020029,0.0328879341621517,-3.525091648101806
Bertahan Terluka,17,Fabio Asher,62,Bertahan Terluka,0.325,0.345,5.0,-9.536,1.0,0.0311,0.495,0.0,0.0726,0.135,77.835,6gNG7O2IlMYUXAcCDwQrPT,240760.0,4.0,Fabio asher,272666174,1600000,0.2509790360927582,0.0675590559840202,1856.552762109309,2150.400692453014,3901.918072301906,0.0782591639657507,-14.426548957824709
Sunroof,36,Nicky Youre,69,Sunroof,0.768,0.716,10.0,-5.11,1.0,0.0404,0.35,0.0,0.15,0.841,131.43,3RfTeIrWS8LNrfHYwechtt,163026.0,4.0,Nicky Youre,271612167,11100000,0.3188000619411468,0.195820152759552,2064.208518616463,1967.1515516521072,4001.384137510884,0.0983705313951238,-4.307767868041992
Kismet,0,WHOKILLEDXIX,50,Kismet,0.633,0.827,6.0,-5.756,1.0,0.361,0.0151,0.0,0.0671,0.876,160.301,7EIjhHMKF4kmXxkB64Bq6O,171809.0,4.0,WHOKILLEDXIX,271289331,611700,0.3572430610656738,0.1635739356279373,2837.5124065998807,2655.770695517505,5855.364593411377,0.1316133386948529,-4.87339448928833
CASABLANCA,63,Nuha Bahrin,43,CASABLANCA,0.711,0.746,5.0,-5.224,0.0,0.0279,0.452,0.0,0.251,0.609,110.018,7gvhpn0qGA0r3GDqrPnmhD,180048.0,4.0,Nuha Bahrin & Naufal Azrin,270367930,1400000,0.2804673016071319,0.1838532090187072,2092.212924756717,2277.5977102375955,4638.646950736504,0.0786828197561919,-5.545242786407471
Runaway,6,AURORA,70,All My Demons Greeting Me as a Friend (Deluxe),0.521,0.277,11.0,-10.34,1.0,0.0356,0.634,7.07e-05,0.103,0.13,115.01,0TCmhnbMpw5zwPsTvlXTJi,248827.0,4.0,AURORA,270045871,2432832,0.3214804828166961,0.053756583482027,1410.3743077838292,2080.35378640773,2504.201524102651,0.0482155058775154,-9.651327133178713
Drip Like ME,0,Kenndog,44,Year of the Dog,0.954,0.607,0.0,-8.725,0.0,0.214,0.0621,0.0,0.104,0.46,103.988,6S6FVfLInBO3NcC1BsJPYv,144091.0,4.0,KENN DOG,269340892,529844,0.4155228734016418,0.2314935475587844,2032.312401973304,2003.5458111524035,3887.159828209656,0.0902016465508901,-1.752343773841858
you are my sunshine,74,Christina Perri,69,songs for carmella: lullabies & sing-a-longs,0.574,0.121,10.0,-14.275,1.0,0.0426,0.978,1.04e-06,0.353,0.657,115.165,4cNpO3kF8rqcH8G3huFCJp,82200.0,4.0,christina perri,268672275,2300000,0.2416278421878814,0.1119742840528488,2090.1331102632034,2081.6684050623467,3742.135705150687,0.1066588410652089,-18.016563415527344
